frame  #blobs    w    h      area  aspect  extent  solidity
    0       0   --   --        --      --      --        --
    1       0   --   --        --      --      --        --
    2       0   --   --        --      --      --        --
    3       0   --   --        --      --      --        --
    4       0   --   --        --      --      --        --
    5       7    5   33     123.0   0.152   0.745     0.984
    6       4    5   33     123.5   0.152   0.748     0.972
    7       4    5   33     123.5   0.152   0.748     0.972
    8       7    5   33     123.5   0.152   0.748     0.972
    9       7    6   33     127.5   0.182   0.644     0.892
   10      13   10   33     271.5   0.303   0.823     0.978
   11      16   10   33     271.5   0.303   0.823     0.978
   12      16   10   33     271.5   0.303   0.823     0.978
   13      15   10   33     272.0   0.303   0.824     0.977
   14      15   10   33     273.5   0.303   0.829     0.975
   15      14   17   33     427.5   0.515   0.762     0.891
   16      13   17   33     427.5   0.515   0.762     0.891
   17      13   17   33     428.5   0.515   0.764     0.893
   18      14   17   33     428.5   0.515   0.764     0.893
   19      15   17   33     428.5   0.515   0.764     0.893
   20      11   22   36     585.0   0.611   0.739     0.855
   21      11   22   37     585.0   0.595   0.719     0.840
   22      12   22   37     586.5   0.595   0.721     0.842
   23      13   22   37     593.5   0.595   0.729     0.852
   24      12   24   37     594.5   0.649   0.669     0.810
   25      13   25   37     753.0   0.676   0.814     0.926
   26      13   25   37     753.0   0.676   0.814     0.926
   27      13   25   37     758.0   0.676   0.819     0.931
   28      13   25   37     758.0   0.676   0.819     0.931
   29      18   27   37     760.0   0.730   0.761     0.898
   30       9   31   37     905.5   0.838   0.789     0.918
   31       9   31   37     906.5   0.838   0.790     0.919
   32       9   31   37     906.5   0.838   0.790     0.919
   33       9   31   37     906.5   0.838   0.790     0.919
   34      11   32   37     908.5   0.865   0.767     0.904
   35       5   35   37    1056.0   0.946   0.815     0.912
   36       5   35   37    1056.0   0.946   0.815     0.912
   37       5   35   37    1056.0   0.946   0.815     0.912
   38       7   35   37    1056.5   0.946   0.816     0.913
   39       9   37   37    1059.5   1.000   0.774     0.891
   40       4   40   37    1150.5   1.081   0.777     0.904
   41       4   40   37    1150.5   1.081   0.777     0.904
   42       4   40   37    1150.5   1.081   0.777     0.904
   43       4   40   37    1150.5   1.081   0.777     0.904
   44       4   40   37    1150.5   1.081   0.777     0.904
   45       4   40   37    1150.5   1.081   0.777     0.904
   46       4   40   37    1150.5   1.081   0.777     0.904
   47       4   40   37    1150.5   1.081   0.777     0.904
   48       4   40   37    1150.5   1.081   0.777     0.904
   49       4   40   37    1150.5   1.081   0.777     0.904
   50       4   40   37    1150.5   1.081   0.777     0.904
   51       4   40   37    1150.5   1.081   0.777     0.904
   52       4   40   37    1150.5   1.081   0.777     0.904
   53       4   40   37    1150.5   1.081   0.777     0.904
   54       4   40   37    1150.5   1.081   0.777     0.904
   55       4   40   37    1150.5   1.081   0.777     0.904
   56       4   40   37    1150.5   1.081   0.777     0.904
   57       4   40   37    1150.5   1.081   0.777     0.904
   58       4   40   37    1150.5   1.081   0.777     0.904
   59       4   40   37    1150.5   1.081   0.777     0.904
   60       4   40   37    1150.5   1.081   0.777     0.904
   61       4   40   37    1150.5   1.081   0.777     0.904
   62       4   40   37    1150.5   1.081   0.777     0.904
   63       4   40   37    1150.5   1.081   0.777     0.904
   64       4   40   37    1150.5   1.081   0.777     0.904
   65       4   40   37    1150.5   1.081   0.777     0.904
   66       4   40   37    1150.5   1.081   0.777     0.904
   67       4   40   37    1150.5   1.081   0.777     0.904
   68       4   40   37    1150.5   1.081   0.777     0.904
   69       4   40   37    1150.5   1.081   0.777     0.904
   70       4   40   37    1150.5   1.081   0.777     0.904
   71       4   40   37    1150.5   1.081   0.777     0.904
